,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
226,58.0,58.0,,50.0,64.0,,51.0,33.0,,37.0,42.0,
227,68.0,55.0,,69.0,104.0,,32.0,42.0,,34.0,36.0,
228,59.0,61.0,,59.0,99.0,,46.0,30.0,,42.0,40.0,
229,49.0,64.0,,55.0,100.0,,52.0,25.0,,39.0,38.0,
230,60.0,55.0,,51.0,123.0,,41.0,47.0,,46.0,44.0,
231,62.0,64.0,,57.0,58.0,,51.0,30.0,,43.0,35.0,
232,70.0,57.0,,54.0,129.0,,45.0,28.0,,49.0,45.0,
233,56.0,61.0,,55.0,111.0,,56.0,40.0,,44.0,42.0,
234,71.0,54.0,,60.0,122.0,,48.0,36.0,,45.0,44.0,
235,62.0,56.0,,63.0,103.0,,53.0,45.0,,39.0,40.0,
236,68.0,59.0,,58.0,102.0,,34.0,32.0,,46.0,37.0,
237,86.0,47.0,,55.0,62.0,,35.0,43.0,,41.0,43.0,
238,87.0,63.0,,52.0,100.0,,50.0,42.0,,51.0,34.0,
239,67.0,62.0,,50.0,106.0,,30.0,34.0,,33.0,41.0,
240,61.0,62.0,,53.0,114.0,,57.0,44.0,,40.0,36.0,
241,58.0,53.0,,52.0,107.0,,49.0,35.0,,50.0,45.0,
242,57.0,61.0,,49.0,60.0,,30.0,49.0,,34.0,35.0,
243,60.0,56.0,,50.0,65.0,,47.0,39.0,,36.0,32.0,
244,62.0,63.0,,62.0,116.0,,36.0,36.0,,41.0,58.0,
245,63.0,57.0,,52.0,105.0,,42.0,29.0,,47.0,42.0,
246,48.0,43.0,,58.0,110.0,,55.0,45.0,,46.0,42.0,
247,60.0,52.0,,48.0,56.0,,49.0,35.0,,53.0,110.0,
248,59.0,54.0,,48.0,111.0,,62.0,35.0,,23.0,97.0,
249,61.0,46.0,,52.0,94.0,,55.0,29.0,,42.0,42.0,
250,59.0,59.0,,52.0,74.0,,57.0,38.0,,69.0,43.0,
251,63.0,59.0,,62.0,85.0,,49.0,38.0,,37.0,37.0,
252,63.0,45.0,,66.0,79.0,,52.0,30.0,,49.0,46.0,
253,61.0,52.0,,57.0,82.0,,53.0,41.0,,47.0,54.0,
254,72.0,57.0,,53.0,70.0,,55.0,32.0,,47.0,60.0,
255,64.0,53.0,,58.0,85.0,,49.0,35.0,,47.0,49.0,
256,61.0,55.0,,59.0,79.0,,32.0,47.0,,64.0,39.0,
257,51.0,54.0,,56.0,79.0,,52.0,36.0,,42.0,39.0,
258,60.0,51.0,,55.0,105.0,,47.0,34.0,,44.0,49.0,
259,69.0,56.0,,55.0,79.0,,42.0,30.0,,43.0,143.0,
260,74.0,53.0,,65.0,90.0,,39.0,51.0,,36.0,50.0,
261,69.0,52.0,,52.0,75.0,,46.0,33.0,,48.0,46.0,
262,67.0,58.0,,63.0,97.0,,51.0,38.0,,39.0,46.0,
263,59.0,58.0,,57.0,83.0,,54.0,32.0,,47.0,54.0,
264,58.0,62.0,,64.0,81.0,,34.0,33.0,,34.0,43.0,
265,60.0,60.0,,53.0,80.0,,41.0,50.0,,49.0,50.0,
266,67.0,54.0,,53.0,77.0,,45.0,34.0,,31.0,47.0,
